"Employee No","Employee Name","Total Hours","Total Available Hours","Total Work Hours","Total Leave Hours","Total Training Hours","Total BD Hours","Total NC Hours","Total Utilization%","No of Working Years","Profit Center","Employee Position","Employee Location","Employee Category","Supervisor name","People Group","Current Status"
14,"Tallia Eyde",4168,3782,722,384,2,2051,1273,19.1,13.09,"PC - 6","Level 2","Location 1","Level 1/2","Idalina Lauraine","Client Service Staff",Active
15,"Peria Maryjo",872,766,36,104,2,0,746,2.35,11.51,"PC - 3","Level 4","Location 2","Serving Notice Period","Barbee Joey","Client Service Staff",Resigned
16,"Zaria Dawn",4168,3819.5,1514,288,60.5,2555,11.5,39.7,12.34,"PC - 3","Level 3","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
17,"Trudey Lissi",4168,3764,626,352,52,0,3210,16.62,12.25,"PC - 1","Level 3","Location 3","Confirmed Staff","Rochette Jilleen","Client Service Staff",Active
18,"Marina Garnette",4168,3779,249,352,37,551,3029,6.6,12.17,"PC - 3","Level 3","Location 1","Confirmed Staff","Barbee Joey","Client Service Staff",Active
19,"Cordey Sofia",4168,3700,378.5,468,0,20,3677,10.11,11.84,"PC - 3","Level 3","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
20,"Leonanie Lexine",4168,3725,4431.02,350,93,0,16,118.95,11.76,"PC - 5","Level 6","Location 7","Confirmed Staff","Orsa Margeaux","Client Service Staff",Active
21,"Alvinia Ede",4168,3928,1749,200,40,2187,34,44.14,11.67,"PC - 1","Level 3","Location 3","Confirmed Staff","Rochette Jilleen","Client Service Staff",Active
22,"Marys Essy",4168,3792,1636,376,0,0,2273,43.24,11.34,"PC - 2","Level 3","Location 7","Confirmed Staff","Annnora Gabrielle","Client Service Staff",Active
23,"Em Cacilie",4168,3681,1401,476,11,2292,8,38.1,11.25,"PC - 1","Level 4","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
24,"Rina Debee",4168,3702,135.5,408,58,896,2715.5,3.64,11.25,"PC - 5","Level 3","Location 3","Confirmed Staff","Rochette Jilleen","Client Service Staff",Active
25,"Oriana Tabby",4168,3654.5,1166.75,448,65.5,730,1870.75,31.86,11.17,"PC - 3","Level 3","Location 4","Confirmed Staff","Barbee Joey","Client Service Staff",Active
26,"Marney Anderea",4168,3573.5,2627,528,66.5,4,978.5,73.18,11.01,"PC - 3","Level 4","Location 2","Confirmed Staff","Revkah Stephie","Client Service Staff",Active
27,"Danette Melinda",4168,3628.5,1246,507,32.5,8,2406.5,34.21,11.01,"PC - 3","Level 4","Location 4","Confirmed Staff","Barbee Joey","Client Service Staff",Active
28,"Kynthia Hildy",4168,3662,1600.5,408,98,610,1489.5,43.05,10.67,"PC - 3","Level 3","Location 2","Confirmed Staff","Barbee Joey","Client Service Staff",Active
29,"Cynthia Leonora",4168,3596,1569,456,116,94,2225,43.13,10.34,"PC - 1","Level 4","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
30,"Kristina Alleen",4168,3752.5,655,392,23.5,910,2331.5,17.5,9.92,"PC - 3","Level 4","Location 1","Confirmed Staff","Barbee Joey","Client Service Staff",Active
31,"Nikolia Shirl",4168,3871,1526,288,9,322,2044,39.62,9.92,"PC - 3","Level 4","Location 1","Confirmed Staff","Kalindi Toma","Client Service Staff",Active
32,"Gisella Nickie",4168,3739,1491.5,368,61,0,2814,39.91,9.84,"PC - 1","Level 5","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
33,"Blondy Tatiania",4168,3014.5,1320,1100,53.5,6,1696.5,42.49,9.84,"PC - 1","Level 5","Location 3","Confirmed Staff","Irene Candis","Client Service Staff",Active
34,"Beverlee Giana",4168,3720,0,448,0,0,3720,0,9.34,"PC - 1","Level A2","Location 3","Confirmed Staff","Idalina Lauraine","Support Staff",Active
35,"Alika Malia",4168,2492,1609.5,1648,28,0,1058.5,58.02,9.34,"PC - 3","Level 6","Location 2","Confirmed Staff","Kynthia Hildy","Client Service Staff",Active
36,"Charlotta Marena",848,768,688,80,0,0,80,44.79,7.59,"PC - 6","Level 4","Location 7","Serving Notice Period","Daryl Natalina","Client Service Staff",Resigned
37,"Terza Gwyn",4168,3754,1643,304,110,136,2081,43.84,8.84,"PC - 2","Level 5","Location 7","Confirmed Staff","Annnora Gabrielle","Client Service Staff",Active
38,"Genvieve Celeste",4168,3590.5,2147,524,53.5,20,1464,59.62,8.76,"PC - 3","Level 5","Location 4","Confirmed Staff","Kalindi Toma","Client Service Staff",Active
39,"Kim Consuela",4168,3557.5,0,592,18.5,0,4715.5,0,8.76,"PC - 3","Level A2","Location 1","Confirmed Staff","Cacilia Aimee","Support Staff",Active
40,"Nerissa Jackquelin",4168,3648,1976.03,496,24,0,2183.5,53.82,8.76,"PC - 1","Level 5","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
41,"Frances Mignonne",4168,3506,1395,508,154,0,2253,39.9,8.76,"PC - 6","Level 4","Location 7","Confirmed Staff","Daryl Natalina","Client Service Staff",Active
42,"Kimberli Shandra",544,352,336,192,0,0,40,47.72,7.01,"PC - 3","Level 6","Location 1","Serving Notice Period","Marina Garnette","Client Service Staff",Resigned
43,"Moira Vivien",4168,3717.5,2265,328,122.5,326,1238.5,60.36,8.59,"PC - 3","Level 5","Location 2","Confirmed Staff","Vonni Bethena","Client Service Staff",Active
44,"Erminie Ericka",4168,3838.5,1283.5,310,19.5,2551,24,33.47,8.59,"PC - 1","Level 4","Location 3","Confirmed Staff","Rochette Jilleen","Client Service Staff",Active
45,"Jenny Kasey",2528,2216,2332,304,8,0,0,105.98,8.17,"PC - 5","Level 7","Location 1","Serving Notice Period","Orsa Margeaux","Client Service Staff",Active
46,"Kirsti Vikky",2560,2212,1688,328,20,0,524,63,8.17,"PC - 1","Level 6","Location 3","Confirmed Staff","Cynthia Leonora","Client Service Staff",Active
47,"Annmaria Alissa",4168,3737,2288,544,111,401,758,61.43,8.09,"PC - 2","Level 6","Location 7","Confirmed Staff","Dore Natalya","Client Service Staff",Active
48,"Philippe Kizzie",4168,3720.5,1024.5,408,39.5,1396.5,1401.5,27.54,8.01,"PC - 2","Level 3","Location 7","Confirmed Staff","Daryl Natalina","Client Service Staff",Active
49,"Orelee Hanna",4168,3842,1526,320,6,0,2342,39.74,7.92,"PC - 2","Level 5","Location 9","Confirmed Staff","Marleah Bernadina","Client Service Staff",Active
50,"Leta Evangeline",3072,2648,715,300,124,120,1981,25.77,7.84,"PC - 6","Level 5","Location 7","Confirmed Staff","Daryl Natalina","Client Service Staff",Active
51,"Leilah Nanni",4168,3805,4613,352,11,0,23,121.48,7.84,"PC - 3","Level 6","Location 1","Confirmed Staff","Revkah Stephie","Client Service Staff",Active
52,"Kathye Edna",4168,3924,362,232,12,0,3562,9.14,7.84,"PC - 3","Level 5","Location 1","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
53,"Rebekkah Brigid",88,88,0,0,0,0,0,0,6.59,"PC - 1","Level 7","Location 3","Serving Notice Period","Em Cacilie","Client Service Staff",Resigned
54,"Anallese Loleta",1520,1362,865,112,46,472,84,31.76,6.51,"PC - 2","Level 5","Location 7","Serving Notice Period","Philippe Kizzie","Client Service Staff",Resigned
55,"Timmy Corene",1008,792,440,216,0,0,352,27.78,6.26,"PC - 6","Level 6","Location 3","Serving Notice Period","Lindy Marguerite","Client Service Staff",Resigned
56,"Madelyn Shane",4168,3578,3365,552,38,0,538,94,7.84,"PC - 3","Level 6","Location 1","Confirmed Staff","Cordey Sofia","Client Service Staff",Active
57,"Celka Dorree",4168,1320,607.5,2824,24,0,728.5,23.01,7.59,"PC - 3","Level 5","Location 1","Confirmed Staff","Marina Garnette","Client Service Staff",Active
58,"Tallulah Kassia",4168,2722,1681,1332,114,715,503,58.68,7.59,"PC - 2","Level 5","Location 7","Confirmed Staff","Dore Natalya","Client Service Staff",Active
59,"Aimil Latisha",4168,3498.5,2845,556,113.5,0,1417.5,81.36,7.59,"PC - 2","Level 5","Location 7","Confirmed Staff","Dorotea Inger","Client Service Staff",Active
60,"Pamelina Shalna",3048,2876,305,128,44,0,2635,8.8,7.50,"PC - 6","Level 4","Location 7","Confirmed Staff","Daryl Natalina","Client Service Staff",Active
61,"Jillian Lorelei",4168,3800,2178.14,288,80,914.5,851.56,57.26,7.50,"PC - 2","Level 4","Location 7","Confirmed Staff","Daryl Natalina","Client Service Staff",Active
62,"Madella Ann-Marie",1056,816,492,224,16,0,372,30.14,7.42,"PC - 3","Level 6","Location 4","Secondee-Outward-Without Pay","Oriana Tabby","Client Service Staff",Secondment
63,"Tarah Sean",4168,3542.5,0,624,1.5,0,3558.5,0,7.34,"PC - 3","Level A3","Location 1","Confirmed Staff","Barbee Joey","Support Staff",Active
64,"Chiarra Constancy",4168,3651,0,508,9,0,3689,0,7.34,"PC - 2","Level A2","Location 7","Confirmed Staff","Daryl Natalina","Support Staff",Active
65,"Hildagarde Erina",896,757,392,136,3,0,357,25.89,5.84,"PC - 3","Level 7","Location 1","Serving Notice Period","Rosabel Saidee","Client Service Staff",Resigned
66,"Leela Jsandye",3168,2804.5,1927.5,328,35.5,0,965,59.46,7.17,"PC - 3","Level 6","Location 2","Confirmed Staff","Vonni Bethena","Client Service Staff",Active
67,"Ruthe Bellina",4168,3783,2177,320,65,0,1627,57.98,7.17,"PC - 6","Level 5","Location 9","Confirmed Staff","Lenora Nydia","Client Service Staff",Active
68,"Dannie Clotilda",4168,3673,2608,360,135,114,1360.5,71.1,7.17,"PC - 2","Level 5","Location 7","Confirmed Staff","Dore Natalya","Client Service Staff",Active
69,"Lee Alfie",4168,2308,960,1832,28,272,1100,42.78,7.17,"PC - 6","Level 5","Location 3","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
70,"Imelda Madalena",4168,3711.5,1810,406,50.5,1221.5,699,49.04,7.09,"PC - 2","Level 5","Location 9","Confirmed Staff","Lenora Nydia","Client Service Staff",Active
71,"Klarrisa Theresita",4168,3549.1,2175,576,42.9,0,1398.35,61.21,7.09,"PC - 2","Level 5","Location 7","Confirmed Staff","Philippe Kizzie","Client Service Staff",Active
72,"Agata Theodosia",4168,4046,354,120,2,2454,1238,8.74,7.01,"PC - 3","Level 4","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
73,"Cortney Wanids",4168,3633,2004,376,159,184,1743,55.21,7.01,"PC - 3","Level 5","Location 1","Confirmed Staff","Zaria Dawn","Client Service Staff",Active
74,"Ariel Jaimie",272,224,168,48,0,0,72,37.5,5.17,"PC - 1","Level 6","Location 3","Serving Notice Period","Ardys Katerine","Client Service Staff",Resigned
75,"Norene Ethelyn",3408,3126,3211.5,264,18,0,225,102.86,6.92,"PC - 5","Level 6","Location 2","Confirmed Staff","Guenevere Florida","Client Service Staff",Active
76,"Goldarina Cecilia",4168,3384,2201.5,704,80,121,1074.5,64.99,6.92,"PC - 2","Level 6","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
77,"Bernice Andrea",4168,3621.5,851,544,2.5,24,2799,23.42,6.92,"PC - 7","Level 5","Location 6","Confirmed Staff","Rochette Jilleen","Client Service Staff",Active
78,"Grissel Kirsteni",768,709,629,40,19,0,96,44.36,5.26,"PC - 2","Level 7","Location 7","Serving Notice Period","Sile Lorrie","Client Service Staff",Resigned
79,"Jaime Cordie",4168,3562.5,3082,576,29.5,0,572,86.51,6.84,"PC - 2","Level 7","Location 7","Confirmed Staff","Terza Gwyn","Client Service Staff",Active
80,"Katuscha Pru",4168,2349.5,166,1780,38.5,228,1971.5,10.1,6.84,"PC - 1","Level 4","Location 3","Confirmed Staff","Kippy Marquita","Client Service Staff",Active
81,"Dolley Lolly",3672,3273,2644,384,15,2,983,80.45,6.84,"PC - 3","Level 6","Location 1","Confirmed Staff","Rosabel Saidee","Client Service Staff",Active
82,"Tiena Hatti",4168,4099,4575,56,13,0,0,111.72,6.76,"PC - 6","Level 4","Location 1","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
83,"Jolyn Briney",4168,3556,2754.9,412,200,1634,290,77.65,6.76,"PC - 2","Level 5","Location 9","Confirmed Staff","Marleah Bernadina","Client Service Staff",Active
84,"Kary Mindy",3766,1503,1393,2632,3,0,144,95.46,6.76,"PC - 1","Level 6","Location 3","Confirmed Staff","Kippy Marquita","Client Service Staff",Active
85,"Trix Flori",48,48,8,0,0,0,40,8.34,4.84,"PC - 1","Level 7","Location 3","Serving Notice Period","Kippy Marquita","Client Service Staff",Resigned
86,"Claudia Meaghan",4168,3388,2852,720,60,560,80,83.62,6.76,"PC - 1","Level 5","Location 3","Confirmed Staff","Trudey Lissi","Client Service Staff",Active
87,"Dacie Lucia",1904,1579,1430,304,21,0,181,45.28,5.67,"PC - 3","Level 6","Location 2","Serving Notice Period","Kynthia Hildy","Client Service Staff",Resigned
88,"Dionne Ronna",4168,3547.5,2246.5,576,44.5,0,1317,62.52,6.76,"PC - 1","Level 5","Location 3","Confirmed Staff","Alvinia Ede","Client Service Staff",Active
89,"Estrellita Tawsha",88,88,64,0,0,0,24,36.36,4.84,"PC - 3","Level 7","Location 1","Serving Notice Period","Agata Theodosia","Client Service Staff",Resigned
90,"Sibel Wrennie",2232,600,0,1632,0,600,16,0,5.84,"PC - 1","Level 5","Location 3","Serving Notice Period","Rina Debee","Client Service Staff",Resigned
91,"Jacquelyn Callie",4168,3550.5,2957,540,77.5,228,515,83.2,6.76,"PC - 2","Level 6","Location 7","Confirmed Staff","Marys Essy","Client Service Staff",Active
92,"Brunhilda Rakel",1848,1752,1689.4,96,0,0,288,48.22,5.59,"PC - 2","Level 7","Location 7","Serving Notice Period","Marys Essy","Client Service Staff",Resigned
93,"Gert Editha",4168,2365,996,1732,71,90,1300,39.54,6.59,"PC - 6","Level 5","Location 1","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
94,"Ezmeralda Nisse",4168,3720,2358,408,40,0,1394,63.04,6.59,"PC - 1","Level 4","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
95,"Naomi Rebekah",4168,3740,3421,360,68,0,574,91.42,6.59,"PC - 2","Level 5","Location 7","Confirmed Staff","Marys Essy","Client Service Staff",Active
96,"Jayme Linzy",1200,1080,904,120,0,0,184,41.85,6.50,"PC - 2","Level 6","Location 7","Secondee-Outward-Without Pay","Sile Lorrie","Client Service Staff",Secondment
97,"Rosalynd Catina",4168,3696.5,2840,396,75.5,0,1070.5,77.07,6.50,"PC - 3","Level 5","Location 1","Confirmed Staff","Zaria Dawn","Client Service Staff",Active
98,"Eba Caroljean",976,850,432,96,30,30,434,25.41,5.01,"PC - 2","Level 6","Location 9","Serving Notice Period","Marleah Bernadina","Client Service Staff",Resigned
99,"Marybeth Cornelia",4168,3757.5,3442,360,50.5,0,467.5,91.74,6.50,"PC - 3","Level 6","Location 1","Confirmed Staff","Zaria Dawn","Client Service Staff",Active
100,"Nancee Deirdre",4168,3558,1951.7,552,58,0,1715.3,55.45,6.50,"PC - 2","Level 4","Location 7","Confirmed Staff","Annnora Gabrielle","Client Service Staff",Active
101,"Orsa Margeaux",4168,3888,1450,256,24,0,2454,37.2,6.34,"PC - 5","Level 4","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
102,"Enrica Tildi",1368,1316.5,1224,40,11.5,0,299.5,46.48,5.01,"PC - 3","Level 6","Location 1","Serving Notice Period","Cordey Sofia","Client Service Staff",Resigned
103,"Lian Harley",4168,4063.5,648,96,8.5,0,3426.5,15.98,6.34,"PC - 5","Level 4","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
104,"Ali Elsinore",4168,3593,1387.5,524,51,0,2206.5,38.61,6.25,"PC - 3","Level 5","Location 1","Confirmed Staff","Revkah Stephie","Client Service Staff",Active
105,"Dore Natalya",4168,3797,1160.5,332,39,1422.5,1450,30.56,6.17,"PC - 2","Level 3","Location 7","Confirmed Staff","Daryl Natalina","Client Service Staff",Active
106,"Tamarra Brietta",1016,828,604,128,60,0,308,36.48,4.67,"PC - 6","Level 6","Location 7","Serving Notice Period","Pamelina Shalna","Client Service Staff",Resigned
107,"Willette Lil",4168,3918,404,250,0,1789,1784,10.3,6.17,"PC - 5","Level 4","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
108,"Sashenka Channa",4168,3065.5,2344,1096,6.5,256,680,75.83,6.17,"PC - 6","Level 6","Location 7","Confirmed Staff","Frances Mignonne","Client Service Staff",Active
109,"Deloris Gabriella",4168,3891.5,1008,264,12.5,282,2717.5,26.08,6.09,"PC - 3","Level 5","Location 5","Confirmed Staff","Kynthia Hildy","Client Service Staff",Active
110,"Zaneta Arlette",4168,3575.75,2494,552,40.25,0,1289.75,69.26,6.00,"PC - 3","Level 5","Location 1","Confirmed Staff","Kalindi Toma","Client Service Staff",Active
111,"Hattie Eve",3928,3644,2225,280,4,0,1474,60.04,5.92,"PC - 2","Level 6","Location 7","Confirmed Staff","Trenna Mureil","Client Service Staff",Active
112,"Giselle Trixy",1176,1073,1034,76,27,0,87,48.18,4.51,"PC - 2","Level 6","Location 7","Serving Notice Period","Trenna Mureil","Client Service Staff",Resigned
113,"Beryle Lisha",4168,3702,2124,432,34,0,1691.5,56.9,5.92,"PC - 5","Level 5","Location 1","Confirmed Staff","Willette Lil","Client Service Staff",Active
114,"Iormina Lucienne",4168,3893.5,1301.5,256,18.5,294,2336,33.45,5.92,"PC - 3","Level 5","Location 1","Confirmed Staff","Trudey Lissi","Client Service Staff",Active
115,"Mathilda Tomi",4168,3519,3506,572,77,16,174,99.63,5.92,"PC - 3","Level 6","Location 4","Confirmed Staff","Oriana Tabby","Client Service Staff",Active
116,"Amara Kamila",2072,1764,1527,232,76,40,240,43.28,4.92,"PC - 2","Level 6","Location 7","Serving Notice Period","Trenna Mureil","Client Service Staff",Resigned
117,"Hermine Malinde",768,768,248,0,0,0,520,16.14,4.25,"PC - 6","Level 6","Location 1","Serving Notice Period","Tallia Eyde","Client Service Staff",Resigned
118,"Suzi Catherin",4168,3611.75,3353.75,464,92.25,0,481,92.93,5.84,"PC - 3","Level 7","Location 1","Confirmed Staff","Nerita Anet","Client Service Staff",Active
119,"Eydie Francine",4168,3838,1880,328,2,0,1958,48.93,5.84,"PC - 3","Level 5","Location 1","Confirmed Staff","Lenora Nydia","Client Service Staff",Active
120,"Tersina Cecily",4168,3382,3115,640,146,0,466,92.1,5.84,"PC - 2","Level 6","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
121,"Conni Athene",4168,3659.5,2620,384,124.5,0,1119,71.41,5.84,"PC - 1","Level 5","Location 3","Confirmed Staff","Alvinia Ede","Client Service Staff",Active
122,"Sybil Georgianna",4168,3747,1844,412,9,140,1771,49.44,5.84,"PC - 1","Level 5","Location 3","Confirmed Staff","Jordanna Danya","Client Service Staff",Active
123,"Theo Alyssa",1288,1272,600,8,8,32,648,23.58,4.42,"PC - 3","Level 6","Location 1","Serving Notice Period","Revkah Stephie","Client Service Staff",Resigned
124,"Stacey Cassey",3128,2928,1442,200,0,0,1486,42.02,5.75,"PC - 6","Level 5","Location 3","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
125,"Vivyanne Mia",4168,3485.5,2760,628,54.5,167,617,79.19,5.75,"PC - 3","Level 6","Location 5","Confirmed Staff","Kylen Evania","Client Service Staff",Active
126,"Pier Valenka",3208,2220.5,1749,983,4.5,0,479.5,78.53,5.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Rosabel Saidee","Client Service Staff",Active
127,"Dorene Esmaria",4168,3856,2451,304,8,0,1544,64.87,5.67,"PC - 2","Level 6","Location 7","Confirmed Staff","Trenna Mureil","Client Service Staff",Active
128,"Nerita Anet",4168,3887,631,248,33,2639.5,687.5,16.26,5.67,"PC - 3","Level 4","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
129,"Dael Miranda",2928,2592,1512,336,0,0,1072,49.94,5.67,"PC - 6","Level 6","Location 3","Confirmed Staff","Lindy Marguerite","Client Service Staff",Active
130,"Cinnamon Adelaida",3776,3159.5,3211,592,24.5,40,357,105.84,5.67,"PC - 6","Level 6","Location 3","Confirmed Staff","Lindy Marguerite","Client Service Staff",Active
131,"Alicea Doroteya",4168,3710,3485,408,50,0,354,93.92,5.67,"PC - 3","Level 7","Location 1","Confirmed Staff","Agata Theodosia","Client Service Staff",Active
132,"Netty Florentia",1248,1031,632,216,1,0,413,30.65,4.34,"PC - 2","Level 7","Location 7","Serving Notice Period","Terza Gwyn","Client Service Staff",Resigned
133,"Kylen Evania",3456,3105.5,172,348,2.5,2934,85.5,5.92,5.58,"PC - 3","Level 4","Location 5","Confirmed Staff","Barbee Joey","Client Service Staff",Active
134,"Dyana Niki",688,664,528,24,0,0,136,39.76,3.92,"PC - 3","Level 6","Location 2","Serving Notice Period","Vonni Bethena","Client Service Staff",Resigned
135,"Doralyn Marylynne",2056,1725,957,328,3,0,789,27.74,4.50,"PC - 7","Level 7","Location 6","Serving Notice Period","Bernice Andrea","Client Service Staff",Resigned
136,"Roberta Karylin",2240,1991,1452,232,17,0,619,50.94,4.50,"PC - 1","Level 7","Location 3","Serving Notice Period","Jillana Vivi","Client Service Staff",Resigned
137,"Tamera Daune",1488,1320,1157,168,0,0,164,43.82,4.17,"PC - 1","Level 5","Location 3","Serving Notice Period","Kippy Marquita","Client Service Staff",Resigned
138,"Marris Gilda",4168,3808,1711,352,8,0,2105,44.36,5.33,"PC - 1","Level 5","Location 3","Confirmed Staff","Irene Candis","Client Service Staff",Active
139,"Dora Jobi",3256,2800.5,1851,360,95.5,92,989.5,58.08,5.33,"PC - 2","Level 5","Location 7","Confirmed Staff","Philippe Kizzie","Client Service Staff",Active
140,"Vinni Calypso",4168,3638,1825,496,34,0,1869,50.14,5.25,"PC - 1","Level 5","Location 3","Confirmed Staff","Irene Candis","Client Service Staff",Active
141,"Cherry Fancie",3968,3561,2310,396,11,337,914,64.84,5.25,"PC - 1","Level 5","Location 3","Confirmed Staff","Kippy Marquita","Client Service Staff",Active
142,"Holli Lizabeth",4168,3764.5,3793,392,11.5,0,306,100.76,5.16,"PC - 5","Level 6","Location 1","Confirmed Staff","Willette Lil","Client Service Staff",Active
143,"Karlyn Florette",328,328,448,0,0,0,16,68.3,3.33,"PC - 5","Level 6","Location 3","Serving Notice Period","Rina Debee","Client Service Staff",Resigned
144,"Agna Matelda",872,776,8,24,72,452,340,0.52,3.51,"PC - 6","Level 5","Location 7","Serving Notice Period","Tallia Eyde","Client Service Staff",Resigned
145,"Libbey Rita",4168,3620,3364,544,4,0,304,92.82,5.00,"PC - 3","Level 6","Location 1","Confirmed Staff","Nikolia Shirl","Client Service Staff",Active
146,"Rosabel Saidee",4168,3892,1674,276,0,356,1890,43.24,4.92,"PC - 3","Level 4","Location 1","Confirmed Staff","Cacilia Aimee","Client Service Staff",Active
147,"Hollyanne Bonnie",128,120,0,8,0,0,120,0,3.00,"PC - 3","Level 7","Location 2","Serving Notice Period","Vonni Bethena","Client Service Staff",Resigned
148,"Nomi Anabella",160,160,64,0,0,0,104,20,3.00,"PC - 3","Level 7","Location 2","Serving Notice Period","Kynthia Hildy","Client Service Staff",Resigned
149,"Kaela Chad",4168,3718.5,3423.5,424,25.5,0,514,92.06,4.92,"PC - 3","Level 6","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
150,"Wynn Sandra",4168,3644.5,3538,452,71.5,21,534.5,97.32,4.92,"PC - 2","Level 6","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
151,"Chrissy Cassie",4168,3631.5,3731,488,48.5,0,29,102.82,4.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Laetitia Yoshi","Client Service Staff",Active
152,"Eilis Carina",4168,3186.5,2749,968,13.5,0,595.5,85.18,4.84,"PC - 3","Level 6","Location 1","Confirmed Staff","Dottie Bidget","Client Service Staff",Active
153,"Joell Essa",832,632,608,200,0,0,0,48.1,3.25,"PC - 3","Level 7","Location 2","Serving Notice Period","Kynthia Hildy","Client Service Staff",Resigned
154,"Enrika Vera",3008,2687.5,2160,312,8.5,0,796,93.93,4.84,"PC - 1","Level 7","Location 3","Confirmed Staff","Nerissa Jackquelin","Client Service Staff",Active
155,"Marietta Alyss",4168,3569,3422,568,31,0,168,95.91,4.84,"PC - 1","Level 6","Location 3","Confirmed Staff","Erminie Ericka","Client Service Staff",Active
156,"Reba Samaria",328,328,144,0,0,0,184,21.95,3.00,"PC - 5","Level 6","Location 3","Serving Notice Period","Orsa Margeaux","Client Service Staff",Resigned
157,"Ariadne Aila",2000,1783,1697,208,9,0,136,47.59,3.84,"PC - 2","Level 7","Location 9","Serving Notice Period","Jolyn Briney","Client Service Staff",Resigned
158,"Breena Clarita",4168,3638,3578,496,34,0,263,98.52,4.84,"PC - 2","Level 6","Location 7","Confirmed Staff","Marys Essy","Client Service Staff",Active
159,"Grata Rochella",4168,3431.5,2231.5,540,196.5,0,1315.5,64.53,4.84,"PC - 2","Level 5","Location 7","Confirmed Staff","Philippe Kizzie","Client Service Staff",Active
160,"Chicky Karita",4168,3407,2907.5,672,89,276,280,85.38,4.84,"PC - 2","Level 6","Location 9","Confirmed Staff","Marleah Bernadina","Client Service Staff",Active
