STAFF,Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Apr Utilization%,May Utilization%,Jun Utilization%,Jul Utilization%,Aug Utilization%,Sep Utilization%,Oct Utilization%,Nov Utilization%,Dec Utilization%,Jan Utilization%,Feb Utilization%,Mar Utilization%,Total Hours,Total Available Hours,Total Work Hours,Total Leave Hours,Total Training Hours,Total BD Hours,Total NC Hours,Total Utilization%
Staff 16-17,32,PC - 1,Gisella Nickie,Level 5,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2008-05-31,Active,,4.76%,0.00%,39.77%,66.80%,77.94%,33.82%,0.00%,57.89%,105.00%,72.16%,3.13%,14.13%,2088.00,1880.00,687.50,176.00,32.00,0.00,1488.00,36.57%
Staff 16-17,33,PC - 1,Blondy Tatiania,Level 5,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,2008-05-31,Active,,39.47%,52.84%,59.21%,38.93%,46.88%,47.53%,50.69%,47.22%,75.00%,48.30%,55.26%,66.22%,2088.00,1747.00,885.00,312.00,29.00,6.00,864.00,50.66%
Staff 16-17,34,PC - 1,Beverlee Giana,Level A2,Location 3,Support Staff,Confirmed Staff,Idalina Lauraine,2008-11-30,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2088.00,1856.00,0.00,232.00,0.00,0.00,1856.00,0.00%
Staff 16-17,35,PC - 3,Alika Malia,Level 6,Location 2,Client Service Staff,Confirmed Staff,Kynthia Hildy,2008-11-30,Active,,17.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,82.82%,0.00%,86.36%,2088.00,795.00,317.00,1288.00,5.00,0.00,478.00,39.87%
Staff 16-17,36,PC - 6,Charlotta Marena,Level 4,Location 7,Client Service Staff,Serving Notice Period,Daryl Natalina,2009-01-31,Resigned,2016-08-31,54.55%,68.18%,90.91%,142.86%,75.00%,0,0,0,0,0,0,0,848.00,768.00,688.00,80.00,0.00,0.00,80.00,89.58%
Staff 16-17,37,PC - 2,Terza Gwyn,Level 5,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2009-05-31,Active,,18.75%,10.42%,22.73%,14.29%,0.00%,32.50%,95.24%,65.00%,128.68%,47.16%,20.63%,65.93%,2088.00,1974.00,836.00,72.00,42.00,112.00,1103.00,42.35%
Staff 16-17,38,PC - 3,Genvieve Celeste,Level 5,Location 4,Client Service Staff,Confirmed Staff,Kalindi Toma,2009-06-30,Active,,41.22%,3.57%,164.79%,95.89%,98.84%,104.76%,94.44%,90.00%,117.65%,-72.73%,0.00%,69.62%,2088.00,1846.00,1211.00,200.00,42.00,16.00,644.00,65.60%
Staff 16-17,39,PC - 3,Kim Consuela,Level A2,Location 1,Support Staff,Confirmed Staff,Cacilia Aimee,2009-06-30,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2088.00,1772.50,0.00,312.00,3.50,0.00,2458.50,0.00%
Staff 16-17,40,PC - 1,Nerissa Jackquelin,Level 5,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2009-06-30,Active,,28.57%,45.45%,59.09%,-1.49%,-3.47%,14.77%,0.69%,2.63%,94.40%,110.00%,53.85%,447.37%,2088.00,1864.00,1303.43,224.00,0.00,0.00,1062.50,69.93%
Staff 16-17,41,PC - 6,Frances Mignonne,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2009-06-30,Active,,100.00%,100.00%,93.75%,112.50%,66.30%,65.00%,59.21%,36.81%,28.33%,0.00%,0.00%,38.10%,2088.00,1741.00,979.00,252.00,95.00,0.00,834.00,56.23%
Staff 16-17,42,PC - 3,Kimberli Shandra,Level 6,Location 1,Client Service Staff,Serving Notice Period,Marina Garnette,2009-07-31,Resigned,2016-07-31,100.00%,89.47%,100.00%,100.00%,0,0,0,0,0,0,0,0,544.00,352.00,336.00,192.00,0.00,0.00,40.00,95.45%
Staff 16-17,43,PC - 3,Moira Vivien,Level 5,Location 2,Client Service Staff,Confirmed Staff,Vonni Bethena,2009-08-31,Active,,56.00%,45.57%,102.62%,90.17%,65.00%,82.86%,46.05%,105.20%,112.18%,68.57%,110.00%,100.00%,2088.00,1906.50,1569.00,152.00,29.50,134.00,251.50,82.30%
Staff 16-17,44,PC - 1,Erminie Ericka,Level 4,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2009-08-31,Active,,14.29%,8.38%,84.57%,58.60%,9.21%,15.91%,32.14%,5.38%,97.06%,37.50%,83.75%,18.75%,2088.00,1909.00,740.00,162.00,17.00,1178.00,0.00,38.76%
Staff 16-17,45,PC - 5,Jenny Kasey,Level 7,Location 1,Client Service Staff,Serving Notice Period,Orsa Margeaux,2010-01-31,Active,,111.90%,88.24%,115.79%,105.00%,86.36%,104.55%,126.67%,103.70%,117.65%,100.00%,100.00%,104.35%,2088.00,1824.00,1912.00,256.00,8.00,0.00,0.00,104.82%
Staff 16-17,46,PC - 1,Kirsti Vikky,Level 6,Location 3,Client Service Staff,Confirmed Staff,Cynthia Leonora,2010-01-31,Active,,0,0,0,0,0,0,0,0,0,0.00%,70.00%,36.96%,480.00,440.00,180.00,40.00,0.00,0.00,260.00,40.91%
Staff 16-17,47,PC - 2,Annmaria Alissa,Level 6,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2010-02-28,Active,,0.00%,0.00%,0.00%,0.00%,66.88%,98.75%,80.95%,25.60%,72.73%,75.00%,50.00%,53.57%,2088.00,1889.00,808.00,312.00,111.00,233.00,598.00,42.77%
Staff 16-17,48,PC - 2,Philippe Kizzie,Level 3,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-03-31,Active,,20.14%,12.78%,15.34%,60.63%,14.20%,22.32%,64.47%,10.88%,38.24%,2.38%,40.79%,34.66%,2088.00,1949.50,533.00,128.00,10.50,750.50,729.00,27.34%
Staff 16-17,49,PC - 2,Orelee Hanna,Level 5,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,2010-04-30,Active,,101.28%,45.45%,0.00%,25.63%,22.83%,26.32%,15.00%,163.13%,2.24%,4.76%,10.53%,46.59%,2088.00,1954.00,755.00,128.00,6.00,0.00,1217.00,38.64%
Staff 16-17,50,PC - 6,Leta Evangeline,Level 5,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-05-31,Active,,21.05%,6.25%,46.53%,0.00%,41.30%,130.65%,83.33%,25.00%,0.00%,4.76%,27.03%,4.76%,2088.00,1784.00,523.00,180.00,124.00,120.00,1285.00,29.32%
Staff 16-17,51,PC - 3,Leilah Nanni,Level 6,Location 1,Client Service Staff,Confirmed Staff,Revkah Stephie,2010-05-31,Active,,105.00%,100.00%,101.82%,100.00%,100.00%,101.15%,92.86%,95.45%,109.09%,90.91%,110.00%,102.79%,2088.00,1926.00,1944.00,152.00,10.00,0.00,8.00,100.93%
Staff 16-17,52,PC - 3,Kathye Edna,Level 5,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,2010-05-31,Active,,30.77%,13.64%,0.00%,5.63%,2.30%,0.00%,0.68%,0.89%,5.36%,0.00%,0.00%,0.00%,2088.00,1918.00,96.00,160.00,10.00,0.00,1822.00,5.01%
Staff 16-17,53,PC - 1,Rebekkah Brigid,Level 7,Location 3,Client Service Staff,Serving Notice Period,Em Cacilie,2010-05-31,Resigned,2016-12-31,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,88.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00%
Staff 16-17,54,PC - 2,Anallese Loleta,Level 5,Location 7,Client Service Staff,Serving Notice Period,Philippe Kizzie,2010-06-30,Resigned,2016-12-31,66.54%,54.17%,47.02%,76.25%,79.06%,85.37%,76.06%,48.13%,34.38%,0,0,0,1520.00,1362.00,865.00,112.00,46.00,472.00,84.00,63.51%
Staff 16-17,55,PC - 6,Timmy Corene,Level 6,Location 3,Client Service Staff,Serving Notice Period,Lindy Marguerite,2010-06-30,Resigned,2016-09-30,75.00%,150.00%,100.00%,15.00%,0.00%,0.00%,0,0,0,0,0,0,1008.00,792.00,440.00,216.00,0.00,0.00,352.00,55.56%
Staff 16-17,56,PC - 3,Madelyn Shane,Level 6,Location 1,Client Service Staff,Confirmed Staff,Cordey Sofia,2010-05-31,Active,,148.13%,117.05%,100.00%,94.74%,46.86%,18.31%,25.00%,152.63%,105.88%,123.81%,100.70%,100.00%,2088.00,1852.00,1769.00,224.00,12.00,0.00,306.00,95.52%
Staff 16-17,57,PC - 3,Celka Dorree,Level 5,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,2010-08-31,Active,,11.90%,55.00%,77.78%,128.33%,66.67%,43.75%,39.47%,16.25%,28.13%,26.70%,0.00%,0.00%,2088.00,1320.00,607.50,744.00,24.00,0.00,728.50,46.02%
Staff 16-17,58,PC - 2,Tallulah Kassia,Level 5,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2010-08-31,Active,,36.84%,20.83%,44.74%,75.61%,52.50%,42.59%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2088.00,1150.00,447.00,876.00,62.00,529.00,238.00,38.87%
Staff 16-17,59,PC - 2,Aimil Latisha,Level 5,Location 7,Client Service Staff,Confirmed Staff,Dorotea Inger,2010-08-31,Active,,105.26%,180.00%,-97.27%,23.75%,156.82%,4.06%,0.00%,105.53%,200.00%,90.77%,155.00%,18.06%,2088.00,1765.50,1362.50,220.00,102.50,0.00,877.50,77.17%
Staff 16-17,60,PC - 6,Pamelina Shalna,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-09-30,Active,,10.26%,0.00%,31.82%,36.84%,0.00%,38.64%,15.00%,0.00%,0.00%,0.00%,15.79%,13.04%,2088.00,2020.00,268.00,32.00,36.00,0.00,1768.00,13.27%
Staff 16-17,61,PC - 2,Jillian Lorelei,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-09-30,Active,,-33.33%,12.50%,59.09%,59.69%,57.50%,100.00%,94.12%,65.00%,52.94%,72.41%,-25.00%,185.87%,2088.00,1936.00,1162.94,120.00,32.00,507.50,342.56,60.07%
Staff 16-17,62,PC - 3,Madella Ann-Marie,Level 6,Location 4,Client Service Staff,Secondee-Outward-Without Pay,Oriana Tabby,2010-10-31,Secondment,,0.00%,100.00%,0.00%,146.88%,94.74%,0.00%,0.00%,0,0,0,0,0,1056.00,816.00,492.00,224.00,16.00,0.00,372.00,60.29%
Staff 16-17,63,PC - 3,Tarah Sean,Level A3,Location 1,Support Staff,Confirmed Staff,Barbee Joey,2010-11-30,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2088.00,1755.00,0.00,332.00,1.00,0.00,1771.00,0.00%
Staff 16-17,64,PC - 2,Chiarra Constancy,Level A2,Location 7,Support Staff,Confirmed Staff,Daryl Natalina,2010-11-30,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2088.00,1835.50,0.00,244.00,8.50,0.00,1860.50,0.00%
Staff 16-17,65,PC - 3,Hildagarde Erina,Level 7,Location 1,Client Service Staff,Serving Notice Period,Rosabel Saidee,2010-11-30,Resigned,2016-09-30,100.00%,80.00%,110.00%,-5.10%,0.00%,0.00%,0,0,0,0,0,0,896.00,757.00,392.00,136.00,3.00,0.00,357.00,51.78%
Staff 16-17,66,PC - 3,Leela Jsandye,Level 6,Location 2,Client Service Staff,Confirmed Staff,Vonni Bethena,2011-01-31,Active,,70.15%,52.38%,112.50%,107.57%,60.53%,15.00%,194.74%,94.27%,112.50%,100.00%,100.00%,64.56%,2088.00,1830.00,1644.00,248.00,10.00,0.00,266.00,89.84%
Staff 16-17,67,PC - 6,Ruthe Bellina,Level 5,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,2011-01-31,Active,,75.00%,0.00%,90.91%,0.00%,142.86%,0.00%,170.39%,0.00%,253.33%,77.11%,100.00%,80.95%,2088.00,1854.00,1477.00,200.00,34.00,0.00,390.00,79.67%
Staff 16-17,68,PC - 2,Dannie Clotilda,Level 5,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2011-01-31,Active,,100.00%,-54.55%,22.73%,202.38%,163.24%,116.96%,71.43%,111.11%,-22.73%,162.22%,78.95%,73.68%,2088.00,1826.00,1605.00,168.00,94.00,34.00,538.00,87.90%
Staff 16-17,69,PC - 6,Lee Alfie,Level 5,Location 3,Client Service Staff,Confirmed Staff,Tallia Eyde,2011-01-31,Active,,70.00%,13.64%,21.05%,47.50%,50.00%,45.00%,38.46%,21.05%,16.67%,42.86%,63.16%,50.00%,2088.00,1800.00,732.00,264.00,24.00,272.00,820.00,40.67%
Staff 16-17,70,PC - 2,Imelda Madalena,Level 5,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,2011-02-28,Active,,0.66%,212.00%,85.23%,50.00%,-23.81%,0.00%,83.33%,58.75%,70.97%,64.71%,89.47%,55.17%,2088.00,1748.00,939.00,302.00,38.00,272.00,555.00,53.72%
Staff 16-17,71,PC - 2,Klarrisa Theresita,Level 5,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2011-02-28,Active,,100.00%,100.00%,48.12%,0.00%,76.19%,0.00%,120.00%,95.00%,111.76%,101.20%,100.00%,101.88%,2088.00,1779.75,1528.00,296.00,12.25,0.00,265.00,85.85%
Staff 16-17,72,PC - 3,Agata Theodosia,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2011-03-31,Active,,0.00%,0.00%,0.00%,0.00%,0.00%,22.73%,0.00%,0.00%,0.00%,0.00%,21.25%,47.83%,2088.00,1976.00,162.00,112.00,0.00,1814.00,0.00,8.20%
Staff 16-17,73,PC - 3,Cortney Wanids,Level 5,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,2011-03-31,Active,,100.00%,47.37%,18.18%,30.38%,56.52%,172.09%,94.74%,90.00%,134.21%,25.00%,115.79%,-103.51%,2088.00,1808.00,1198.00,168.00,112.00,16.00,728.00,66.26%
Staff 16-17,74,PC - 1,Ariel Jaimie,Level 6,Location 3,Client Service Staff,Serving Notice Period,Ardys Katerine,2011-03-31,Resigned,2016-05-31,100.00%,46.15%,0,0,0,0,0,0,0,0,0,0,272.00,224.00,168.00,48.00,0.00,0.00,72.00,75.00%
Staff 16-17,75,PC - 5,Norene Ethelyn,Level 6,Location 2,Client Service Staff,Confirmed Staff,Guenevere Florida,2011-04-30,Active,,100.00%,90.91%,112.50%,101.25%,94.84%,98.86%,96.39%,99.38%,-19.12%,225.00%,100.00%,119.23%,2088.00,1862.00,1903.50,208.00,18.00,0.00,97.00,102.23%
Staff 16-17,76,PC - 2,Goldarina Cecilia,Level 6,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,2011-04-30,Active,,100.00%,87.50%,23.53%,12.50%,36.46%,20.14%,12.50%,19.23%,11.76%,0.00%,158.13%,95.45%,2088.00,1684.00,862.50,336.00,68.00,121.00,700.50,51.22%
Staff 16-17,77,PC - 7,Bernice Andrea,Level 5,Location 6,Client Service Staff,Confirmed Staff,Rochette Jilleen,2011-04-30,Active,,5.00%,12.50%,13.64%,116.67%,61.37%,30.95%,18.18%,35.71%,66.07%,0.00%,1.32%,13.13%,2088.00,1838.50,531.00,248.00,1.50,24.00,1323.00,28.88%
Staff 16-17,78,PC - 2,Grissel Kirsteni,Level 7,Location 7,Client Service Staff,Serving Notice Period,Sile Lorrie,2011-05-31,Resigned,2016-08-31,100.00%,65.48%,136.94%,100.00%,0.00%,0,0,0,0,0,0,0,768.00,709.00,629.00,40.00,19.00,0.00,96.00,88.72%
Staff 16-17,79,PC - 2,Jaime Cordie,Level 7,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,2011-05-31,Active,,100.00%,100.00%,68.82%,82.76%,13.71%,31.76%,135.63%,99.38%,111.76%,100.00%,100.00%,100.00%,2088.00,1780.00,1551.00,288.00,20.00,0.00,290.00,87.13%
Staff 16-17,80,PC - 1,Katuscha Pru,Level 4,Location 3,Client Service Staff,Confirmed Staff,Kippy Marquita,2011-05-31,Active,,57.89%,22.73%,29.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2088.00,777.00,148.00,1304.00,7.00,228.00,409.00,19.05%
Staff 16-17,81,PC - 3,Dolley Lolly,Level 6,Location 1,Client Service Staff,Confirmed Staff,Rosabel Saidee,2011-05-31,Active,,100.00%,100.00%,100.00%,88.16%,100.00%,111.25%,94.74%,23.68%,116.07%,134.52%,0.00%,0.00%,2088.00,1838.00,1528.00,248.00,2.00,2.00,412.00,83.13%
